,CHLA,DO,PH,PHEO,SALINITY,SECCHI,SIGMA_T,SPCOND,TSS,WTEMP,SampleDepth,Latitude,Longitude,timestamp
16,1.121,13.5,8.2,0.0,0.0,1.2,0.03668,248.0,4.8,4.4,0.5,39.54794,-76.08481,1110973.32
17,1.495,13.1,8.1,0.179,0.0,0.6,0.03811,257.0,11.0,3.9,0.5,39.44149,-76.02599,1110971.04
18,4.486,13.1,7.5,0.0,0.0,0.1,-0.07467,105.0,202.0,7.7,0.5,39.54794,-76.08481,1112787.9
19,2.99,13.0,7.5,1.196,0.0,0.1,-0.0634,106.0,178.60001,7.6,0.5,39.44149,-76.02599,1112785.5
20,10.167,10.6,8.2,1.645,0.0,0.9,-0.8982,216.0,6.0,15.4,0.5,39.54794,-76.08481,1113991.38
21,4.486,10.1,7.7,0.748,0.0,0.5,-0.86731,340.0,12.2,15.2,0.5,39.44149,-76.02599,1113988.68
22,13.756,10.7,8.8,4.067,0.0,1.0,-1.12743,240.0,5.7,16.8,0.5,39.54794,-76.08481,1115892.0
23,11.214,10.3,8.6,4.535,0.0,0.7,-1.23249,280.0,11.2,17.4,0.5,39.44149,-76.02599,1115889.24
24,2.99,7.1,7.8,2.243,0.0,1.0,-1.57149,285.0,7.6,19.2,0.5,39.54794,-76.08481,1117106.7
25,4.187,8.5,7.6,5.682,1.57,0.7,-0.20211,3500.0,46.3,16.8,0.5,39.44149,-76.02599,1117104.06
26,10.167,7.4,7.7,3.588,0.0,0.9,-3.56385,314.0,4.8,27.6,0.5,39.54794,-76.08481,1118829.42
27,8.971,7.9,7.6,2.542,0.02,0.8,-3.73334,710.0,22.4,28.1,0.5,39.44149,-76.02599,1118827.14
28,10.765,6.8,7.6,4.834,0.0,0.8,-3.56385,317.0,6.4,27.6,0.5,39.54794,-76.08481,1120038.06
29,5.981,7.1,7.5,3.23,0.11,0.6,-3.25995,1170.0,15.2,26.4,0.5,39.44149,-76.02599,1120035.78
30,15.55,7.1,7.7,2.273,0.0,0.8,-3.90606,330.0,5.5,28.7,0.5,39.54794,-76.08481,1121253.48
31,6.355,7.1,7.4,4.685,0.05,0.5,-3.73334,1700.0,29.5,28.1,0.5,39.44149,-76.02599,1121251.5
32,12.56,7.0,7.8,4.964,0.0,1.0,-4.3518,310.0,4.0,30.2,0.5,39.54794,-76.08481,1122458.94
33,6.28,6.6,7.4,1.854,0.0,0.7,-4.14133,470.0,11.4,29.5,0.5,39.44149,-76.02599,1122456.42
34,4.672,5.9,7.6,3.05,0.0,1.3,-4.11161,310.0,3.5,29.6,0.5,39.54794,-76.08481,1123672.32
35,5.084,6.2,7.4,4.216,1.06,0.9,-3.76665,2600.0,30.2,28.4,0.5,39.44149,-76.02599,1123670.28
36,10.466,7.4,7.8,4.396,0.0,1.1,-3.64819,310.0,5.6,27.8,0.5,39.54794,-76.08481,1124963.88
37,4.859,6.3,7.3,3.14,1.62,0.4,-2.20412,3600.0,26.5,26.7,0.5,39.44149,-76.02599,1124961.48
38,12.261,9.0,8.1,3.678,0.0,1.2,-3.39763,378.0,2.8,26.9,0.5,39.54794,-76.08481,1126696.8
39,5.084,6.8,7.4,2.871,3.0,0.7,-0.94828,6200.0,20.8,25.4,0.5,39.44149,-76.02599,1126694.58
40,0.997,9.3,8.0,1.969,0.0,0.8,-0.61061,251.0,11.6,13.5,0.5,39.54794,-76.08481,1130419.2
41,0.854,9.7,8.1,1.004,0.0,1.0,-0.48504,357.0,9.6,12.4,0.5,39.44149,-76.02599,1130416.98
42,0.897,10.6,8.0,1.077,0.0,1.0,-0.36145,200.0,9.6,11.3,0.5,39.54794,-76.08481,1132228.02
43,0.748,10.1,8.1,0.075,0.0,0.4,-0.57164,200.0,15.0,13.1,0.5,39.44149,-76.02599,1132225.98
44,2.492,13.5,7.9,0.449,0.0,0.3,-0.03472,155.0,34.0,1.0,0.5,39.44149,-76.02599,1134641.76
45,1.282,13.3,7.8,0.192,0.0,0.8,0.02976,160.0,6.2,5.0,0.5,39.54794,-76.08481,1137067.74
46,0.598,13.2,7.7,0.03,0.0,1.8,0.03392,160.0,5.0,4.7,5.0,39.44149,-76.02599,1137065.7
47,1.196,13.7,8.0,0.807,0.0,0.4,0.03792,140.0,15.2,3.8,4.0,39.54794,-76.08481,1139485.8
48,1.794,13.5,7.9,1.017,0.0,0.3,0.03453,150.0,19.8,3.3,0.5,39.44149,-76.02599,1139483.64
49,4.699,13.6,8.3,0.0,0.0,1.3,0.01973,240.0,2.4,5.5,0.5,39.54794,-76.08481,1141897.8
50,10.253,13.8,8.5,0.513,0.0,1.1,0.0313,240.0,3.5,4.9,0.5,39.44149,-76.02599,1141895.4
51,10.965,11.2,8.3,2.409,0.0,1.0,-0.46143,230.0,5.4,13.0,0.5,39.54794,-76.08481,1144346.4
52,3.364,9.8,7.9,2.691,0.01,0.3,-0.41572,680.0,35.5,11.8,0.5,39.44149,-76.02599,1144344.0
53,7.177,9.6,8.6,0.867,0.0,1.1,-1.19702,230.0,5.6,17.7,0.5,39.54794,-76.08481,1145451.66
54,2.691,8.4,7.8,2.243,0.0,0.4,-1.07642,650.0,43.3,16.5,0.5,39.44149,-76.02599,1145448.18
55,7.476,8.7,8.0,1.316,0.0,1.2,-1.73337,175.0,4.6,20.7,0.5,39.54794,-76.08481,1147264.68
56,1.794,8.2,7.6,1.136,1.74,0.9,0.51797,3800.0,5.0,18.1,0.5,39.44149,-76.02599,1147262.58
57,12.56,8.6,7.9,6.938,0.0,0.8,-1.45457,211.0,8.4,18.7,0.5,39.54794,-76.08481,1148475.6
58,1.794,8.7,7.9,2.467,0.0,0.6,-1.23249,310.0,34.0,17.1,0.5,39.44149,-76.02599,1148471.7
59,9.27,6.6,7.5,8.523,0.0,0.6,-2.69108,209.0,12.0,24.2,0.5,39.54794,-76.08481,1149674.52
60,2.392,7.3,7.6,0.0,0.0,0.6,-2.51924,339.0,6.2,23.6,0.5,39.44149,-76.02599,1149671.94
61,7.177,7.4,7.8,3.768,0.0,0.8,-2.89325,179.0,4.5,25.7,0.5,39.54794,-76.08481,1150886.16
62,4.859,7.3,7.6,2.243,0.0,0.6,-2.94475,340.0,35.3,25.1,0.5,39.44149,-76.02599,1150882.08
63,8.597,7.5,7.6,4.149,0.0,0.4,-3.12796,191.0,13.0,25.9,0.5,39.54794,-76.08481,1152788.88
64,2.243,7.1,7.6,0.897,0.0,0.2,-3.31576,174.0,36.7,26.6,0.5,39.44149,-76.02599,1152786.6
65,8.672,7.1,7.8,2.452,0.0,0.8,-4.26108,236.0,6.0,29.9,0.5,39.54794,-76.08481,1153998.96
66,5.233,6.6,7.6,0.972,0.0,0.4,-3.90606,218.0,25.5,28.7,0.5,39.44149,-76.02599,1153996.86
67,7.289,6.2,7.7,2.841,0.0,0.8,-3.96435,238.0,13.0,28.9,0.5,39.54794,-76.08481,1155726.0
68,3.987,6.9,7.8,1.837,0.0,0.4,-3.15451,208.0,16.5,26.0,0.5,39.44149,-76.02599,1155722.76
69,5.682,6.3,7.6,2.355,0.0,0.8,-3.7619,270.0,9.6,28.3,0.5,39.54794,-76.08481,1156937.28
70,5.383,6.9,7.7,0.957,0.4,0.8,-2.51546,3700.0,18.6,26.9,0.5,39.44149,-76.02599,1156935.06
71,1.794,8.1,7.8,1.764,0.0,0.7,-1.94517,200.0,7.9,21.0,0.5,39.54794,-76.08481,1158751.2
72,3.588,7.7,7.7,0.359,0.18,0.6,-2.0834,1000.0,12.7,22.2,0.5,39.44149,-76.02599,1158748.92
73,2.99,8.7,7.8,1.675,0.0,1.1,-1.162,240.0,3.2,17.0,0.5,39.54794,-76.08481,1161168.36
74,1.196,8.7,7.7,0.807,0.12,0.8,0.01952,970.0,6.4,15.9,6.0,39.44149,-76.02599,1161165.6
75,0.299,9.8,7.7,0.0,0.0,0.8,-0.43832,200.0,8.8,12.0,0.5,39.54794,-76.08481,1163603.28
76,0.641,9.3,7.7,0.406,0.0,0.7,-0.46143,250.0,10.4,12.2,0.5,39.44149,-76.02599,1163601.3
77,0.449,12.8,8.0,0.0,0.0,0.7,0.01973,196.0,7.3,5.4,0.5,39.54794,-76.08481,1166007.48
78,,12.2,7.9,,0.0,0.7,0.01973,200.0,4.0,5.5,0.5,39.44149,-76.02599,1166004.0
79,4.984,13.8,7.8,1.744,0.0,0.4,0.02621,137.0,11.3,5.2,0.5,39.54794,-76.08481,1168606.8
80,2.99,13.3,7.8,1.869,0.0,0.5,0.02621,141.0,16.0,5.2,0.5,39.44149,-76.02599,1168604.88
81,1.794,14.4,7.7,0.389,0.0,0.7,0.02507,228.0,7.4,2.6,0.5,39.54794,-76.08481,1173868.86
82,1.495,14.1,7.8,0.179,0.0,0.7,0.01464,221.0,8.0,5.7,0.5,39.44149,-76.02599,1173866.4
83,,12.0,7.62,,0.0,0.3,-0.20976,189.0,,9.7,0.5,39.546,-76.0494,1175255.1
84,2.99,12.48,7.9,0.0,0.0,0.8,-0.0634,185.0,8.0,7.5,0.5,39.54794,-76.08481,1176287.52
85,0.598,11.94,7.8,0.03,0.0,1.1,-0.09265,175.0,6.6,8.0,0.5,39.44149,-76.02599,1176284.7
86,10.466,11.2,7.55,4.71,0.0,0.2,-0.10535,170.0,115.0,8.3,1.0,39.546,-76.0494,1175762.7
87,2.392,9.76,7.5,0.635,0.0,0.5,-0.67801,142.0,15.0,13.9,0.5,39.54794,-76.08481,1177587.96
88,1.196,9.83,7.5,0.179,0.0,0.8,-0.62384,150.0,8.4,13.5,0.5,39.44149,-76.02599,1177585.8
89,1.196,11.8,7.6,0.269,0.0,0.8,-0.55889,179.0,6.8,13.0,0.5,39.4167,-76.0333,1177407.84
90,1.196,11.3,7.5,0.478,0.0,0.7,-0.5975,170.0,11.2,12.9,0.5,39.4209,-76.096,1177406.76
91,1.794,11.6,7.5,0.299,0.0,0.6,-0.41572,170.0,10.0,12.0,0.5,39.4475,-76.0525,1177405.02
92,1.794,11.5,7.5,0.09,0.0,0.5,-0.46143,170.0,15.2,12.2,0.5,39.4767,-76.0709,1177403.58
93,3.588,11.4,7.5,0.0,0.0,0.8,-0.50916,172.0,6.8,12.6,0.5,39.4866,-76.0006,1177410.78
94,,11.6,7.7,,0.0,0.4,-0.53378,163.0,8.7,12.8,0.5,39.4943,-76.0876,1177417.14
95,0.997,12.7,8.0,0.05,0.0,0.5,-0.65068,168.0,9.3,13.7,0.5,39.5053,-76.0414,1177415.1
96,3.987,12.6,7.57,0.548,0.0,0.4,-0.03773,219.0,22.7,7.1,1.0,39.546,-76.0494,1176971.4
97,1.994,11.4,7.8,0.0,0.0,0.4,-0.46143,167.0,15.3,12.2,0.5,39.546,-76.0494,1177410.06
98,1.994,11.4,7.8,0.449,0.0,0.3,-0.52141,161.0,13.3,12.7,0.5,39.6001,-76.1239,1177407.9
99,10.799,10.1,8.5,3.319,0.0,1.0,-1.47379,176.0,13.2,18.3,0.5,39.54794,-76.08481,1178792.4
100,1.495,9.4,7.9,0.878,0.0,1.0,-1.65158,176.0,12.4,19.6,0.5,39.44149,-76.02599,1178789.64
101,18.939,11.6,8.56,2.691,0.0,0.5,-0.99369,200.0,12.0,16.0,1.0,39.546,-76.0494,1178184.6
102,6.878,8.18,7.9,2.482,0.0,1.2,-2.23586,221.0,5.2,21.6,0.5,39.54794,-76.08481,1179920.76
103,1.794,8.29,7.8,0.0,0.0,1.0,-1.88054,207.0,6.2,20.7,0.5,39.44149,-76.02599,1179918.66
104,2.392,8.8,7.3,0.12,0.0,0.9,-3.04888,496.0,5.2,25.6,0.5,39.4167,-76.0333,1180520.64
105,5.084,9.5,7.9,0.568,0.0,0.8,-2.7183,641.0,9.6,25.2,0.5,39.4209,-76.096,1180518.66
106,4.785,7.6,7.5,0.449,0.0,0.9,-2.7914,241.0,8.8,25.2,0.5,39.4475,-76.0525,1180516.86
107,1.495,6.6,7.3,1.017,0.0,1.1,-2.7914,234.0,6.0,24.7,0.5,39.4767,-76.0709,1180515.24
108,2.691,7.8,7.7,0.449,0.0,1.0,-2.86764,236.0,7.2,24.9,0.5,39.4866,-76.0006,1180513.44
109,2.392,7.3,7.5,0.329,0.0,1.3,-2.91895,241.0,2.8,25.1,0.5,39.4943,-76.0876,1180527.18
110,,7.6,7.6,,0.0,1.0,-2.91895,240.0,3.2,25.1,0.5,39.5053,-76.0414,1180524.78
111,9.47,8.1,7.79,3.09,0.0,0.7,-1.98877,229.0,10.0,21.2,0.7,39.546,-76.0494,1179387.9
112,5.383,7.4,7.53,0.897,0.0,0.7,-2.7914,242.0,5.6,24.6,1.0,39.546,-76.0494,1179738.0
113,2.093,6.7,7.4,1.256,0.0,1.5,-2.56785,241.0,2.4,24.2,0.5,39.546,-76.0494,1180521.48
114,2.093,6.4,7.4,0.0,0.0,1.4,-2.56785,244.0,2.4,23.8,0.5,39.6001,-76.1239,1180519.5
115,4.785,6.72,7.6,0.568,0.0,0.9,-3.04888,262.0,9.0,25.5,0.5,39.54794,-76.08481,1181128.2
116,2.691,7.77,7.9,1.42,0.0,0.6,-2.5923,218.0,12.8,23.8,0.5,39.44149,-76.02599,1181125.92
117,5.482,6.9,7.58,2.542,0.0,0.8,-3.07514,284.0,5.3,25.7,1.5,39.546,-76.0494,1181815.2
118,8.074,7.17,7.6,1.764,0.0,1.0,-3.59187,285.0,6.0,27.6,0.5,39.54794,-76.08481,1182334.98
119,5.084,7.5,7.7,2.033,0.0,0.6,-3.18115,490.0,15.2,26.2,5.0,39.44149,-76.02599,1182332.28
120,8.971,8.0,7.8,0.658,0.47,0.7,-2.5374,1950.0,9.2,24.7,0.5,39.4167,-76.0333,1182766.08
121,9.868,8.7,7.9,2.901,0.21,0.4,-2.65761,1047.0,18.8,24.6,0.5,39.4209,-76.096,1182765.12
122,5.981,7.7,7.8,1.764,0.0,0.5,-2.84213,347.0,10.0,24.6,0.5,39.4475,-76.0525,1182763.38
123,4.187,7.0,7.6,2.931,0.0,0.6,-2.7914,346.0,24.0,24.6,0.5,39.4767,-76.0709,1182761.82
124,5.084,7.4,8.1,0.0,0.0,0.8,-2.74104,273.0,11.2,24.3,0.5,39.4866,-76.0006,1182768.6
125,5.084,7.4,7.8,1.196,0.0,1.0,-2.7914,302.0,6.0,24.7,0.5,39.4943,-76.0876,1182760.38
126,2.392,11.0,9.6,0.0,0.0,1.3,-2.76617,250.0,2.4,24.5,0.5,39.5053,-76.0414,1182761.82
127,11.962,7.9,7.9,2.063,0.0,1.1,-3.18115,303.0,4.0,26.1,0.5,39.546,-76.0494,1182764.52
128,17.195,9.5,8.3,6.093,0.0,0.9,-3.8193,315.0,9.0,28.4,1.0,39.546,-76.0494,1183020.3
129,1.794,6.4,7.6,1.555,0.0,1.7,-2.91895,316.0,2.4,25.4,0.5,39.6001,-76.1239,1182769.08
130,12.56,7.76,7.7,0.0,0.0,1.1,-3.93516,303.0,3.3,29.0,0.5,39.54794,-76.08481,1184154.06
131,14.055,7.97,7.7,1.316,0.73,0.5,-3.12708,1990.0,13.7,27.7,0.5,39.44149,-76.02599,1184151.9
132,4.486,7.2,7.93,4.097,0.0,0.9,-3.67648,320.0,10.0,27.9,1.0,39.546,-76.0494,1184230.8
133,8.074,6.88,7.8,2.632,0.0,1.2,-3.4251,342.0,14.0,26.5,0.5,39.54794,-76.08481,1185357.78
134,8.597,6.24,7.8,1.869,3.06,0.6,-1.72632,3800.0,11.4,25.4,5.0,39.44149,-76.02599,1185355.44
135,17.195,10.5,7.2,2.43,2.15,0.6,0.67738,4490.0,6.5,26.1,0.5,39.4167,-76.0333,1185442.92
136,8.971,7.6,7.4,1.757,1.56,0.4,-1.89624,3490.0,28.0,25.7,0.5,39.4209,-76.096,1185441.3
137,7.85,7.8,7.9,0.785,0.33,0.6,-2.72093,1670.0,9.0,25.3,0.5,39.4475,-76.0525,1185439.5
138,5.607,7.1,7.6,4.074,0.11,0.4,-2.9134,870.0,22.0,25.4,0.5,39.4767,-76.0709,1185437.94
139,14.952,7.3,8.0,3.888,0.3,0.5,-2.79579,1430.0,21.0,25.4,0.5,39.4866,-76.0006,1185445.74
140,5.981,7.8,8.0,2.654,0.0,0.6,-3.37025,339.0,13.0,26.8,0.5,39.4943,-76.0876,1185447.48
141,12.148,9.4,9.8,2.374,0.0,1.3,-3.26164,278.0,8.3,26.4,0.5,39.5053,-76.0414,1185444.9
142,1.346,8.1,9.76,0.748,0.0,1.3,-3.48033,289.0,2.4,27.2,1.0,39.5053,-76.0414,1185526.8
143,8.224,7.8,8.0,1.545,0.0,1.2,-3.45267,328.0,5.3,27.0,0.5,39.546,-76.0494,1185441.6
144,14.454,7.7,8.07,9.27,0.0,1.1,-3.4251,342.0,22.0,26.9,1.0,39.546,-76.0494,1185442.2
145,1.869,7.4,7.5,0.617,0.0,2.0,-3.50808,342.0,2.4,28.3,0.5,39.6001,-76.1239,1185439.08
146,11.214,7.88,7.9,1.42,0.0,1.3,-3.99362,366.0,2.8,29.9,0.5,39.54794,-76.08481,1186571.76
147,0.498,6.39,7.3,7.526,2.08,0.5,-2.31456,4300.0,15.0,28.8,0.5,39.44149,-76.02599,1186569.6
148,2.093,7.7,9.51,0.628,0.0,0.8,-4.20103,294.0,2.4,29.7,0.5,39.5053,-76.0414,1186649.1
149,14.204,8.7,8.32,6.205,0.0,0.6,-4.44331,357.0,8.5,30.5,0.5,39.546,-76.0494,1186659.0
150,4.785,6.04,7.7,2.213,0.0,1.4,-2.74104,367.0,9.0,25.8,0.5,39.54794,-76.08481,1187777.7
151,2.617,6.56,7.5,0.411,3.65,0.5,-0.47615,7100.0,16.6,24.1,0.5,39.44149,-76.02599,1187775.06
152,6.579,7.1,7.5,0.329,3.14,0.7,-0.83873,6800.0,7.2,26.2,0.5,39.4167,-76.0333,1188296.82
153,9.868,6.9,7.4,0.389,2.97,0.5,-0.91258,6500.0,15.6,25.7,0.5,39.4209,-76.096,1188295.38
154,2.99,6.5,7.3,0.15,1.85,0.8,-1.70388,3550.0,10.0,26.1,0.5,39.4475,-76.0525,1188294.0
155,4.486,6.6,7.6,2.422,0.11,0.9,-3.23274,1350.0,8.8,26.3,0.5,39.4767,-76.0709,1188292.68
156,4.187,7.2,7.9,0.0,1.19,1.2,-2.47283,6290.0,2.8,25.8,0.5,39.4866,-76.0006,1188299.58
157,5.682,6.9,7.5,2.482,0.0,0.7,-3.50808,402.0,15.2,27.3,0.5,39.4943,-76.0876,1188303.24
158,0.598,10.4,9.23,1.077,0.0,0.7,-1.83797,328.0,2.4,20.5,0.4,39.5053,-76.0414,1187863.2
159,1.682,11.2,9.7,0.0,0.0,1.2,-3.4251,310.0,2.4,27.0,0.5,39.5053,-76.0414,1188300.72
160,2.691,7.2,7.63,0.449,0.0,1.6,-3.20789,370.0,3.6,26.2,1.0,39.546,-76.0494,1187872.2
161,7.775,7.5,7.6,0.0,0.0,1.4,-3.4251,347.0,2.4,27.0,0.5,39.546,-76.0494,1188297.54
162,3.24,6.5,7.4,1.121,0.0,2.2,-3.39763,347.0,2.4,26.9,0.5,39.6001,-76.1239,1188293.82
163,,8.5,9.72,,0.0,0.9,-2.97064,378.0,2.4,25.3,0.6,39.5053,-76.0414,1189068.3
164,7.775,8.9,8.26,0.807,0.0,1.1,-3.4251,338.0,4.8,26.9,1.0,39.546,-76.0494,1189078.2
165,3.418,7.39,7.9,0.619,0.0,1.2,-2.5923,323.0,3.6,23.8,4.0,39.54794,-76.08481,1190201.28
166,3.845,7.55,7.7,1.709,2.71,0.8,-0.10424,7800.0,13.8,22.2,0.5,39.44149,-76.02599,1190199.3
167,12.56,9.2,7.5,1.465,4.91,0.9,2.13216,9140.0,4.4,22.7,0.5,39.4167,-76.0333,1190626.98
168,4.785,7.3,7.4,1.077,4.03,0.5,0.75702,7730.0,30.4,22.6,0.5,39.4209,-76.096,1190625.6
169,2.691,7.3,7.4,0.449,3.5,1.0,0.33086,6890.0,6.4,22.7,0.5,39.4475,-76.0525,1190624.16
170,1.794,6.9,7.4,1.974,1.9,0.7,-0.81333,4030.0,8.4,22.4,0.5,39.4767,-76.0709,1190622.12
171,3.888,7.0,7.4,0.299,3.56,1.0,0.6376,4770.0,3.6,23.0,0.5,39.4866,-76.0006,1190629.62
172,3.588,7.5,7.6,0.179,0.42,0.9,-2.12786,1440.0,7.2,23.4,0.5,39.4943,-76.0876,1190631.66
173,0.897,10.0,9.14,0.0,0.0,,-1.83797,351.0,2.4,20.5,0.4,39.5053,-76.0414,1190277.0
174,,10.0,9.7,,0.0,1.4,-2.3522,388.0,2.4,22.8,0.5,39.5053,-76.0414,1190629.2
175,7.177,8.6,8.01,1.196,0.0,,-2.51924,347.0,2.4,23.5,0.5,39.546,-76.0494,1190281.5
176,3.845,8.5,7.8,0.94,0.0,1.8,-2.5923,337.0,2.4,23.9,0.5,39.546,-76.0494,1190626.32
177,0.598,7.8,7.6,0.763,0.0,2.3,-2.7914,344.0,2.4,24.5,0.5,39.6001,-76.1239,1190624.22
178,1.794,8.2,8.73,0.508,0.0,0.5,-2.19002,354.0,3.2,22.1,0.2,39.5053,-76.0414,1191490.2
179,13.756,8.8,7.95,0.0,0.0,0.8,-2.69108,518.0,2.4,24.2,0.5,39.546,-76.0494,1191499.2
180,4.187,8.52,7.9,0.643,0.0,1.7,-1.77489,368.0,2.5,20.5,0.5,39.54794,-76.08481,1192620.06
181,3.888,7.79,7.5,1.346,4.12,0.9,2.39526,10000.0,16.6,19.5,0.5,39.44149,-76.02599,1192617.9
182,1.196,9.1,7.6,0.0,3.9,1.2,1.97043,4630.0,3.6,15.8,0.5,39.4167,-76.0333,1193828.22
183,1.794,9.1,7.8,0.09,2.17,0.7,0.8123,4500.0,15.6,15.3,0.5,39.4209,-76.096,1193825.64
184,,8.2,7.8,,0.18,1.0,-0.72408,800.0,5.2,16.6,0.5,39.4475,-76.0525,1193824.5
185,3.289,8.6,7.9,0.478,0.0,0.7,-0.9614,420.0,8.4,15.8,0.5,39.4767,-76.0709,1193822.16
186,1.495,8.5,7.8,0.0,0.47,1.4,-0.51873,670.0,3.6,16.5,0.5,39.4866,-76.0006,1193830.8
187,1.196,8.4,7.7,0.688,0.0,1.0,-1.2684,373.0,4.0,17.6,0.5,39.4943,-76.0876,1193830.62
188,5.482,13.4,9.1,0.972,0.0,0.7,-0.61061,380.0,7.2,13.4,0.5,39.5053,-76.0414,1193828.4
189,5.383,8.4,7.72,1.944,0.0,1.1,-1.71276,492.0,7.6,19.9,0.8,39.546,-76.0494,1192615.2
190,2.691,8.6,7.8,0.239,0.0,0.7,-1.23249,366.0,8.0,17.4,0.5,39.546,-76.0494,1193823.96
191,1.794,8.6,7.7,2.392,0.0,0.5,-1.23249,341.0,12.0,17.4,0.5,39.6001,-76.1239,1193821.98
192,2.99,9.4,8.1,0.329,0.0,1.2,-0.50916,290.0,4.8,12.8,0.5,39.54794,-76.08481,1194519.72
193,2.093,10.3,8.1,0.419,0.68,0.6,0.44689,1600.0,9.8,11.2,0.5,39.44149,-76.02599,1194517.5
194,1.196,,,0.688,,1.0,,,5.6,,0.7,39.5053,-76.0414,1193905.8
195,5.981,9.4,7.89,1.084,0.0,0.9,-1.23249,363.0,12.5,17.5,0.9,39.546,-76.0494,1193913.0
196,,14.0,7.7,,0.0,1.0,0.03204,198.0,3.2,3.1,0.5,39.54794,-76.08481,1197458.52
197,,12.8,7.7,,1.34,0.6,0.0943,1500.0,12.7,4.1,0.5,39.44149,-76.02599,1197456.36
198,1.869,11.9,7.8,0.972,0.0,0.5,0.03392,130.0,12.2,4.7,0.5,39.54794,-76.08481,1200573.84
199,1.495,12.2,7.7,1.121,0.0,0.3,0.02291,140.0,12.8,2.6,0.5,39.44149,-76.02599,1200571.74
200,0.897,14.3,7.6,0.0,0.0,0.4,0.01261,220.0,8.0,2.2,0.5,39.54794,-76.08481,1203418.38
201,1.495,14.1,7.7,0.389,0.0,0.3,0.03054,190.0,12.4,3.0,0.5,39.44149,-76.02599,1203416.28
202,,12.2,7.9,,0.0,0.3,-0.02406,172.0,21.0,6.8,0.5,39.54794,-76.08481,1206105.24
203,5.233,11.8,7.9,0.0,0.0,0.2,-0.0198,172.0,65.0,6.3,0.5,39.44149,-76.02599,1206102.78
204,11.962,10.0,8.1,0.0,0.0,0.7,-0.65068,193.0,10.2,13.6,0.5,39.54794,-76.08481,1208346.24
205,4.486,9.8,8.0,0.0,0.0,0.5,-0.47317,177.0,9.0,12.6,0.5,39.44149,-76.02599,1208343.96
206,,11.7,8.1,,0.0,0.5,-0.10535,200.0,24.0,8.3,0.5,39.4167,-76.0333,1207219.02
207,2.243,11.4,8.1,1.42,0.0,0.2,-0.13242,198.0,44.5,8.7,0.5,39.4209,-76.096,1207217.58
208,1.121,11.6,8.1,0.0,0.0,0.7,-0.16171,195.0,11.5,9.0,0.5,39.4475,-76.0525,1207216.38
209,1.495,11.9,8.0,0.179,0.0,0.7,-0.09893,193.0,12.0,8.2,0.5,39.4767,-76.0709,1207212.66
210,4.859,11.6,8.1,0.0,0.0,0.6,-0.13242,191.0,17.0,8.8,0.5,39.4866,-76.0006,1207223.58
211,0.897,11.8,7.8,0.0,0.0,0.7,-0.1186,176.0,12.0,8.5,0.5,39.4943,-76.0876,1207227.66
212,1.196,12.0,7.72,0.0,0.0,0.8,-0.03303,205.0,4.4,7.0,0.5,39.5053,-76.0414,1207216.8
213,,12.5,8.0,,0.0,0.6,-0.16938,185.0,4.4,9.2,0.5,39.5053,-76.0414,1207225.44
214,2.691,11.9,7.7,0.0,0.0,0.5,-0.09265,183.0,12.4,8.1,0.5,39.546,-76.0494,1207221.72
